기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",157684.5,177088,1490214.1,1144472,-967384
"2020","중국","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",36528.2,31659,246029.4,151924,-120265
"2021","중국","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",35082.9,39224,350857.1,306095,-266871
"2022","중국","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",38086.0,47661,227241.6,206239,-158578
"2023","중국","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",28985.5,33885,325632.3,239299,-205414
"2024","중국","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",19001.9,24659,340453.7,240916,-216257
