기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"2021","720917","두께가 0.5밀리미터 이상 1밀리미터 이하인 것",2021414.5,1664348,82889.7,82245,1582103
"2021","721049","기타",2799647.4,2692953,1065304.4,1021466,1671487
"2021","721061","알루미늄-아연 합금을 도금하거나 도포한 것",449451.0,595275,119593.0,119414,475861
"2021","721070","페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것",1346423.4,2278019,514905.3,535490,1742529
"2021","721119","기타",6848.3,8716,2908.8,3210,5507
"2021","721391","횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것",534227.4,422125,549548.4,425696,-3571
"2021","721420","압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",35589.2,28551,926043.9,716192,-687641
"2021","721631","유(U)형강",70667.7,58037,64628.1,46344,11693
"2021","721632","아이(I)형강",4888.2,2882,14471.8,11986,-9105
"2021","721633","에이치(H)형강",743390.4,620326,415931.3,320067,300259
"2021","721710","도금하거나 도포하지 않은 것(연마한 것인지에 상관없다)",96393.1,154016,34204.4,32060,121956
"2021","721933","두께가 1밀리미터를 초과 3밀리미터 미만인 것",174975.9,377442,169240.4,349993,27448
"2021","722020","냉간압연(냉간환원)보다 더 가공하지 않은 것",79568.6,277688,6870.6,40955,236733
"2021","722511","방향성(方向性)인 것",135062.2,262924,25401.3,45775,217148
"2021","722519","기타",492817.6,543037,65481.1,78501,464536
"2021","722540","기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",25629.9,37739,163040.2,202810,-165071
"2021","722550","기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다]",636813.8,584755,36741.4,97642,487112
"2021","730441","냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것",8345.1,89600,8692.7,82323,7278
"2022","720839","두께가 3밀리미터 미만인 것",1372056.6,1093073,1546913.5,1197809,-104736
"2022","720852","두께가 4.75밀리미터 이상 10밀리미터 이하인 것",195397.0,209255,62964.8,57615,151641
"2022","720917","두께가 0.5밀리미터 이상 1밀리미터 이하인 것",1888541.8,1659059,72575.4,65274,1593786
"2022","721049","기타",2892656.2,3099614,753121.4,708035,2391579
"2022","721061","알루미늄-아연 합금을 도금하거나 도포한 것",445263.0,551340,63288.8,61132,490208
"2022","721070","페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것",1233948.2,2100283,416940.3,414347,1685935
"2022","721119","기타",5745.6,8035,1540.1,1855,6180
"2022","721391","횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것",425568.4,379433,644059.6,523635,-144202
"2022","721420","압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",32398.6,30751,624905.0,453483,-422732
"2022","721631","유(U)형강",39102.8,39854,66978.8,51162,-11308
"2022","721632","아이(I)형강",2567.4,2426,15867.6,14041,-11615
"2022","721633","에이치(H)형강",691025.9,725302,442687.3,384238,341064
"2022","721710","도금하거나 도포하지 않은 것(연마한 것인지에 상관없다)",73887.3,140692,28685.7,27913,112778
"2022","721933","두께가 1밀리미터를 초과 3밀리미터 미만인 것",114668.4,294897,138738.3,392700,-97803
"2022","722020","냉간압연(냉간환원)보다 더 가공하지 않은 것",56876.7,237363,5876.8,42173,195190
"2022","722511","방향성(方向性)인 것",54462.7,206265,45508.6,129270,76995
"2022","722519","기타",409712.8,513297,80580.1,101596,411701
"2022","722540","기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",32987.3,54936,114551.7,187465,-132529
