기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",9823011.6,8070876,4520538.9,1998849,6072027
"2015","미국","72","철강",2825197.0,2026259,1011714.5,413576,1612683
"2016","미국","72","철강",2520373.2,1679553,916278.5,327287,1352266
"2017","미국","72","철강",1491703.1,1373726,557276.1,317028,1056698
"2018","미국","72","철강",1587765.3,1597783,900412.7,445316,1152467
"2019","미국","72","철강",1397973.1,1393555,1134857.1,495643,897913
