기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",1466210.9,1582943,1650468.9,1317290,265652
"2020","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",297495.6,231076,260366.2,169282,61794
"2021","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",354810.8,352321,401143.0,358164,-5843
"2022","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",295784.6,367975,273761.1,253695,114280
"2023","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",266543.9,352050,354547.4,271772,80278
"2024","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",251576.1,279520,360651.1,264378,15143
