기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",7470542.9,9112124,2452384.1,1728381,7383743
"2020","미국","72","철강",1275029.8,1063347,517416.2,270679,792668
"2021","미국","72","철강",1671330.3,2162506,742675.5,488173,1674333
"2022","미국","72","철강",1452182.0,2226308,600908.5,471010,1755298
"2023","미국","72","철강",1520916.1,1904733,458125.4,308166,1596566
"2024","미국","72","철강",1551084.6,1755230,133258.4,190353,1564877
