기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","",1447600.1,1249616,2505841.5,1469789,-220173
"2015","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",182918.3,161603,601230.2,330225,-168622
"2016","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",204016.1,152631,649716.4,301823,-149191
"2017","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",280154.1,223102,558992.1,340469,-117367
"2018","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",413655.2,382106,334875.8,248659,133448
"2019","722830","그 밖의 봉[열간(熱間)압연ㆍ열간인발(熱間引拔)ㆍ압출보다 더 가공하지 않은 것으로 한정한다]",366856.4,330174,361026.9,248613,81560
